disaster_id,disaster_type,severity,affected_population,area_affected,duration,resource_needs,population_density,income_level,urban_rural,response_time
1,Hurricane,Moderate,40589,360,25,22697,3461,11027,Urban,31
1,Hurricane,Moderate,27621,328,14,25243,2137,20090,Rural,65
1,Hurricane,Moderate,6703,12,27,22530,8124,23122,Urban,35
1,Hurricane,Mild,73604,38,14,5929,6538,22396,Urban,22
1,Hurricane,Severe,36042,611,10,38439,1879,4340,Urban,33
1,Hurricane,Mild,96277,518,16,2189,1583,19738,Rural,42
1,Hurricane,Mild,64663,561,11,8400,460,18523,Urban,21
1,Hurricane,Mild,83182,908,15,3574,7872,20564,Rural,11
1,Hurricane,Moderate,81504,299,19,21710,6510,32580,Urban,45
1,Hurricane,Moderate,46951,819,28,23568,1539,40588,Rural,43
1,Hurricane,Mild,92091,730,29,8413,7040,41958,Urban,9
1,Hurricane,Moderate,73585,792,27,26587,2498,46328,Urban,38
1,Hurricane,Moderate,68112,324,8,16685,339,38202,Urban,42
1,Hurricane,Mild,80342,319,15,9598,5025,29437,Urban,25
1,Hurricane,Severe,1369,289,17,40132,9210,3970,Rural,5
1,Hurricane,Mild,53246,769,17,8531,9225,9617,Urban,68
1,Hurricane,Moderate,55296,937,25,15220,5492,11492,Rural,46
1,Hurricane,Moderate,91806,432,20,14017,8930,5826,Urban,70
1,Hurricane,Severe,3573,866,5,30692,4737,28940,Urban,47
1,Hurricane,Severe,94020,530,12,30395,823,11753,Rural,5
1,Hurricane,Moderate,65815,583,15,23705,8351,38051,Rural,20
1,Hurricane,Moderate,5683,945,28,10001,8342,42747,Urban,31
1,Hurricane,Mild,53851,695,25,1786,7805,13945,Urban,50
1,Hurricane,Severe,70861,636,27,30527,5310,41551,Urban,43
1,Hurricane,Severe,3235,59,8,35494,4826,40418,Rural,10
1,Hurricane,Mild,16486,147,3,8746,9921,4438,Rural,51
1,Hurricane,Severe,56491,848,23,49084,1318,19595,Urban,47
1,Hurricane,Severe,31910,711,19,49467,9669,15412,Rural,61
1,Hurricane,Moderate,7179,169,22,16960,7552,16251,Rural,34
1,Hurricane,Moderate,43770,109,17,12991,4471,35296,Urban,48
1,Hurricane,Mild,75734,535,20,9017,4443,15781,Rural,70
1,Hurricane,Mild,68729,763,18,9895,2325,19435,Urban,23
1,Hurricane,Mild,60804,158,1,3649,1681,21083,Rural,4
1,Hurricane,Severe,49389,337,26,36533,5108,32394,Urban,52
1,Hurricane,Moderate,33074,679,18,15354,9474,22062,Rural,66
1,Hurricane,Mild,48085,796,2,7323,7298,6827,Rural,12
1,Hurricane,Severe,83256,629,2,41774,9312,28626,Rural,37
1,Hurricane,Moderate,69174,575,15,20094,9213,44899,Urban,49
1,Hurricane,Mild,98054,69,12,6028,7494,45931,Rural,19
1,Hurricane,Mild,26791,523,22,6199,4662,39203,Rural,10
1,Hurricane,Moderate,79437,954,7,24245,2647,10846,Urban,41
1,Hurricane,Moderate,99967,786,6,14859,1521,10069,Rural,8
1,Hurricane,Severe,22262,557,9,49727,2741,12459,Rural,35
1,Hurricane,Moderate,92111,937,21,23597,6438,16854,Rural,19
1,Hurricane,Moderate,87472,949,25,28810,6399,49477,Urban,55
1,Hurricane,Moderate,78186,438,27,25626,3482,41526,Rural,4
1,Hurricane,Mild,66212,278,14,3235,4319,14964,Urban,46
1,Hurricane,Mild,74142,785,2,9725,2862,30489,Rural,4
1,Hurricane,Severe,82559,944,19,40851,2974,18400,Urban,7
1,Hurricane,Moderate,32198,573,9,18161,1860,12311,Rural,40
1,Hurricane,Severe,83934,446,25,32403,3877,29370,Urban,27
1,Hurricane,Severe,15369,470,8,37022,997,19587,Rural,10
1,Hurricane,Mild,53184,909,10,9205,9914,25669,Urban,36
1,Hurricane,Moderate,2960,598,19,21524,5597,45651,Urban,20
1,Hurricane,Moderate,38313,486,19,18476,9357,13629,Rural,53
1,Hurricane,Severe,85898,468,20,48443,1392,41305,Urban,44
1,Hurricane,Moderate,24618,640,25,28636,7091,43562,Urban,46
1,Hurricane,Mild,94509,964,6,8777,4403,18760,Rural,40
1,Hurricane,Mild,92196,288,15,3954,9031,20531,Rural,14
1,Hurricane,Severe,43325,763,13,35702,2286,16039,Rural,7
1,Hurricane,Mild,7821,158,2,2533,1903,22412,Urban,66
